[2025-03-09 16:08:43] Received plate: 8ขฎ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532923.jpg
[2025-03-09 16:08:43] Received plate: กรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532923.jpg
[2025-03-09 16:08:43] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532923.jpg
[2025-03-09 16:08:43] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532923.jpg
[2025-03-09 16:08:43] Received plate: กรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532923.jpg
[2025-03-09 16:08:43] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532923.jpg
[2025-03-09 16:08:43] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532923.jpg
[2025-03-09 16:08:43] Received plate: กรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532923.jpg
[2025-03-09 16:08:43] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532923.jpg
[2025-03-09 16:08:44] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532924.jpg
[2025-03-09 16:08:44] Received plate: กรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532924.jpg
[2025-03-09 16:08:44] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532924.jpg
[2025-03-09 16:08:44] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532924.jpg
[2025-03-09 16:08:44] Received plate: กรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532924.jpg
[2025-03-09 16:08:44] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532924.jpg
[2025-03-09 16:08:44] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532924.jpg
[2025-03-09 16:08:44] Received plate: กรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532924.jpg
[2025-03-09 16:08:44] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532924.jpg
[2025-03-09 16:08:44] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532924.jpg
[2025-03-09 16:08:44] Received plate: รงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532924.jpg
[2025-03-09 16:08:44] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532924.jpg
[2025-03-09 16:08:45] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532925.jpg
[2025-03-09 16:08:45] Received plate: กรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532925.jpg
[2025-03-09 16:08:45] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532925.jpg
[2025-03-09 16:08:45] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532925.jpg
[2025-03-09 16:08:45] Received plate: กรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532925.jpg
[2025-03-09 16:08:45] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532925.jpg
[2025-03-09 16:08:45] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532925.jpg
[2025-03-09 16:08:45] Received plate: กรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532925.jpg
[2025-03-09 16:08:45] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532925.jpg
[2025-03-09 16:08:45] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532925.jpg
[2025-03-09 16:08:45] Received plate: กรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532925.jpg
[2025-03-09 16:08:45] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532925.jpg
[2025-03-09 16:08:46] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532926.jpg
[2025-03-09 16:08:46] Received plate: กรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532926.jpg
[2025-03-09 16:08:46] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532926.jpg
[2025-03-09 16:08:46] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532926.jpg
[2025-03-09 16:08:46] Received plate: กรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532926.jpg
[2025-03-09 16:08:46] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532926.jpg
[2025-03-09 16:08:46] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532926.jpg
[2025-03-09 16:08:46] Received plate: กรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532926.jpg
[2025-03-09 16:08:46] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532926.jpg
[2025-03-09 16:08:46] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532926.jpg
[2025-03-09 16:08:46] Received plate: กกรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532926.jpg
[2025-03-09 16:08:46] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532926.jpg
[2025-03-09 16:08:46] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532926.jpg
[2025-03-09 16:08:47] Received plate: กกรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532927.jpg
[2025-03-09 16:08:47] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532927.jpg
[2025-03-09 16:08:47] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532927.jpg
[2025-03-09 16:08:47] Received plate: กกรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532927.jpg
[2025-03-09 16:08:47] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532927.jpg
[2025-03-09 16:08:47] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532927.jpg
[2025-03-09 16:08:47] Received plate: กกรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532927.jpg
[2025-03-09 16:08:47] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532927.jpg
[2025-03-09 16:08:47] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532927.jpg
[2025-03-09 16:08:47] Received plate: กกรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532927.jpg
